Date,Open,High,Low,Raw_Close,Adj_Close,Volume,Return,LogReturn,Volatility,RSI_14,Ticker,volume_today,value_today,volume_ratio_3m,volume_change_pct,price_change_pct,intraday_range_pct,gap_open_pct,candle_type,ma5,ma20,ma60,ma5_cross_ma20,price_above_ma60,ma_alignment_score,atr_14,bollinger_band_width,volatility_spike,rsi_14,macd,macd_signal_diff,stochastic_k
2015-03-30,11.113332748413086,11.199999809265137,11.083333015441896,11.116666793823242,9.441606521606444,22002600.0,0.0045178863228083,0.0045077113092548,0.1166667938232404,49.15599699808956,CSX,22002600.0,207739891.65229794,,11.284424550489348,0.4517886322808362,1.2356667645093742,18.23773313250231,음봉,9.449535942077636,9.627327251434327,,False,False,0,0.1971428734915596,0.05763674144594756,False,49.15599699808956,-0.08746181999609348,-0.029882908654082205,-166.10522710992254
2015-03-31,11.079999923706056,11.116666793823242,10.94333267211914,11.039999961853027,9.376494407653809,27283800.0,-0.0068962960703382,-0.0069201854154336,0.1733341217041015,44.3036742235805,CSX,27283800.0,255826398.11954498,,24.00261787243325,-0.6896296070338259,1.8486026244799236,17.35290915110968,음봉,9.413297843933105,9.61317195892334,,False,False,0,0.200714383806501,0.06007753026162906,False,44.3036742235805,-0.09630003252815023,-0.030976724243088213,-173.50433000594907
2015-04-01,11.06666660308838,11.199999809265137,10.986666679382324,11.149999618530272,9.46991729736328,29935500.0,0.0099635200158827,0.0099142114047129,0.2133331298828125,41.97792548741452,CSX,29935500.0,283486709.25521845,,9.718954104633525,0.9963520015882743,2.252745437831977,18.025630069751067,음봉,9.421224212646484,9.60198907852173,,False,False,0,0.20380960191999162,0.060147499080614994,False,41.97792548741452,-0.09482734238556745,-0.02360312200461466,-162.8880939195681
2015-04-02,11.09333324432373,11.133333206176758,10.979999542236328,11.106666564941406,9.433117866516112,27771900.0,-0.0038859294850879,-0.0038934993260117,0.1533336639404297,41.25262105604717,CSX,27771900.0,261975606.0770988,,-7.2275392092999935,-0.38859294850879245,1.6254823284325153,17.14287354349399,음봉,9.424055671691894,9.594062232971192,,False,False,0,0.2042858260018486,0.060197194394642106,False,41.25262105604717,-0.09546730550596472,-0.019394398897247242,-167.06984688110575
2015-04-06,10.993332862854004,11.143333435058594,10.993332862854004,11.079999923706056,9.410470008850098,20483100.0,-0.0024008878068199,-0.0024037745593887,0.1500005722045898,33.01438838484849,CSX,20483100.0,192755598.23827744,,-26.245233491406783,-0.2400887806819907,1.5939753494089186,16.539759371353206,음봉,9.426321220397949,9.587833833694457,,False,False,0,0.2040477480207172,0.060236299386294274,False,33.01438838484849,-0.09665095560680292,-0.016462392205975077,-169.64346673573525
2015-04-07,11.146666526794434,11.223333358764648,11.05666732788086,11.18333339691162,9.498233795166016,19677300.0,0.0093261852206509,0.0092829648681289,0.166666030883789,37.89250911266162,CSX,19677300.0,186899595.85762024,,-3.9339748377931083,0.9326185220650984,1.75470550081228,18.449625962481427,음봉,9.437646675109864,9.582171773910522,,False,False,0,0.20785720007760183,0.06027189272946694,False,37.89250911266162,-0.08959128009022166,-0.007522156173750849,-159.67031049680955
2015-04-08,11.186667442321776,11.220000267028809,11.06999969482422,11.083333015441896,9.413293838500977,20301900.0,-0.0089427106656679,-0.0089829367021405,0.150000572204588,29.09904807545675,CSX,20301900.0,191107750.17986298,,3.1742159747526255,-0.8942710665667986,1.5934971836433713,17.776290661691892,음봉,9.445006561279296,9.579623556137085,,False,False,0,0.19738108771187893,0.06028792529143474,False,29.09904807545675,-0.08970737415075547,-0.00611058902403093,-169.32257704441142
2015-04-09,11.113332748413086,11.283332824707031,11.103333473205566,11.263333320617676,9.56617832183838,19499700.0,0.0162413376189423,0.0161108579753554,0.1799993515014648,39.47380473967262,CSX,19499700.0,186537607.42235187,,-3.9513543067397627,1.6241337618942309,1.8816223725471328,18.05997920684087,음봉,9.464258766174316,9.581463766098022,,False,False,0,0.1978572436741419,0.06027634643006722,False,39.47380473967262,-0.07675515709690472,0.005473294424568634,-151.9493425608529
2015-04-10,11.31666660308838,11.359999656677246,11.239999771118164,11.25,9.554850578308104,24009000.0,-0.001184145136038,-0.0011848467898509,0.119999885559082,33.174391083154745,CSX,24009000.0,229402407.53459927,,23.124971153402353,-0.11841451360380395,1.2559054123934887,18.29872099764078,음봉,9.488605308532716,9.575376987457275,,False,False,0,0.19547632762363967,0.060314662287340864,False,33.174391083154745,-0.0666243588005706,0.012483259581193423,-176.6568300904282
2015-04-13,11.18333339691162,11.239999771118164,11.00333309173584,11.026666641235352,9.365171432495115,24847800.0,-0.0198516077523606,-0.020051298119614,0.2366666793823242,40.88246658674556,CSX,24847800.0,232703906.72035214,,3.4936898663001426,-1.9851607752360612,2.527093936168025,17.043519469583103,음봉,9.479545593261717,9.560513830184936,,False,False,0,0.18000010081699916,0.06159277784547312,False,40.88246658674556,-0.07287011419571954,0.004989998681363364,-320.4499351303441
2015-04-14,10.623332977294922,11.08666706085205,10.623332977294922,11.06999969482422,9.401973724365234,57097800.0,0.0039296976179659,0.0039219965249996,0.4633340835571289,42.07485241824393,CSX,57097800.0,536832015.3190613,,129.79016250935697,0.39296976179659104,4.928051249030804,13.434474252486812,음봉,9.460293579101563,9.539988613128662,,False,False,0,0.19690493174961635,0.06172529426510883,True,42.07485241824393,-0.07402883320914988,0.0030650214408165094,-165.79537083905646
2015-04-15,11.239999771118164,11.373332977294922,10.9399995803833,10.953332901000977,9.302886962890623,42474000.0,-0.0105389319710421,-0.0105948598080899,0.4333333969116211,43.3234474755076,CSX,42474000.0,395130820.86181635,,-25.611844939734986,-1.0538931971042165,4.6580529102438355,19.549363789325227,음봉,9.438212203979493,9.514933776855468,,False,False,0,0.2114287785121373,0.06843379988828872,True,43.3234474755076,-0.08191120340763547,-0.0038538766990780238,-176.05946858723982
2015-04-16,10.84000015258789,10.880000114440918,10.649999618530272,10.80666732788086,9.17831802368164,33419700.0,-0.0133903528771112,-0.0134808120802048,0.2300004959106463,38.72676390591549,CSX,33419700.0,306736634.8560333,,-21.317276451476197,-1.3390352877111211,2.5059111627773785,16.522969652634053,음봉,9.360640144348142,9.477563571929931,,False,False,0,0.210714476449149,0.08184719705200241,False,38.72676390591549,-0.09698966343758464,-0.015145862129777449,-192.66866048177081
2015-04-17,10.74666690826416,11.103333473205566,10.739999771118164,11.100000381469728,9.42745590209961,46086300.0,0.0271441758473776,0.0267823065337918,0.3633337020874023,51.09181000909811,CSX,46086300.0,434476560.9409332,,37.90159696227076,2.7144175847377605,3.853995243896961,17.087541317874468,음봉,9.335161209106445,9.45703845024109,9.690378109614054,False,False,0,0.22500017711094436,0.08202483444749593,True,51.09181000909811,-0.0880029158717921,-0.00492728976342191,-159.45027669270831
2015-04-20,11.113332748413086,11.666666984558104,11.036666870117188,11.630000114440918,9.87759017944336,64057500.0,0.0477471633936255,0.0466423004880743,0.6300001144409162,62.79063911507836,CSX,64057500.0,632733732.919693,,38.99466869763899,4.77471633936255,6.378075046604324,17.882627761091,음봉,9.437644958496094,9.453216457366944,9.689427598317463,False,True,0,0.26166684286934977,0.07397187601864041,True,62.790639115078356,-0.04435558674613915,0.03097602199564717,-71.47689931125271
